candidate_id,name,smiles,canonical_isomeric_smiles,full_inchi_key,connectivity_key,fragment_parent_key,uncharged_parent_key,canonical_tautomer_key,experimental_dg_kcal_mol,temperature_k,hscp_units,standard_state,sign_convention,heavy_atom_count,molecular_weight,n_eligible_measurement_rows,n_independent_source_refs,source_record_ids,source_refs,source_dois,target_scope_compatible,known_registry_conflict,scientifically_eligible,overlap_endpoint_public_1280_exact,overlap_endpoint_public_1280_standardized,overlap_endpoint_arrow_85_exact,overlap_endpoint_arrow_85_standardized,overlap_teacher_combisolv_qm_exact,overlap_teacher_combisolv_qm_standardized,overlap_teacher_abraham_exact,overlap_teacher_abraham_standardized,overlap_teacher_openff_exact,overlap_teacher_openff_standardized,overlap_teacher_gbn2_exact,overlap_teacher_gbn2_standardized,overlap_teacher_molsolv_smd_exact,overlap_teacher_molsolv_smd_standardized,overlap_teacher_confsolv_exact,overlap_teacher_confsolv_standardized,any_endpoint_overlap,any_teacher_source_overlap,endpoint_disjoint_eligible,strict_response_source_disjoint,endpoint_cohort_exclusion_reason
AAUJSCRITBXDJH,"1,2,6-trichloronaphthalene",Clc1ccc2c(Cl)c(Cl)ccc2c1,Clc1ccc2c(Cl)c(Cl)ccc2c1,AAUJSCRITBXDJH-UHFFFAOYSA-N,AAUJSCRITBXDJH,AAUJSCRITBXDJH,AAUJSCRITBXDJH,AAUJSCRITBXDJH,-3.580763582585761,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,13,231.509,1,1,SANDER-35217,3732,10.1016/J.ATMOSENV.2016.10.009,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,
AKDRYEADQPNLOH,PFBHA-ethanal,CC=NOCc1c(F)c(F)c(F)c(F)c1F,CC=NOCc1c(F)c(F)c(F)c(F)c1F,AKDRYEADQPNLOH-UHFFFAOYSA-N,AKDRYEADQPNLOH,AKDRYEADQPNLOH,AKDRYEADQPNLOH,AKDRYEADQPNLOH,-2.282416084376685,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,16,239.14299999999997,1,1,SANDER-32462,2497,10.1021/JE025545I,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
ALVPFGSHPUPROW,dipropyl disulfide,CCCSSCCC,CCCSSCCC,ALVPFGSHPUPROW-UHFFFAOYSA-N,ALVPFGSHPUPROW,ALVPFGSHPUPROW,ALVPFGSHPUPROW,ALVPFGSHPUPROW,-1.653482212099156,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,8,150.31199999999998,2,2,SANDER-43216;SANDER-43217,2823;3669,10.1016/J.CHEMOSPHERE.2010.12.051;10.1111/J.1365-2621.1980.TB00916.X,True,False,True,False,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,
ALVYVCQIFHTIRD,"1H,1H,2H,2H-perfluorodecane sulfonic acid",O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,ALVYVCQIFHTIRD-UHFFFAOYSA-N,ALVYVCQIFHTIRD,ALVYVCQIFHTIRD,ALVYVCQIFHTIRD,ALVYVCQIFHTIRD,-1.0050294233768833,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,31,528.1799999999998,1,1,SANDER-43981,3939,10.1016/J.HAZL.2022.100070,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
AWZOLILCOUMRDG,edifenphos,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,AWZOLILCOUMRDG-UHFFFAOYSA-N,AWZOLILCOUMRDG,AWZOLILCOUMRDG,AWZOLILCOUMRDG,AWZOLILCOUMRDG,-9.676930122691385,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,19,310.38000000000005,1,1,SANDER-44734,2538,10.1584/JPESTICS.18.3_201,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
BAOLNVSMVTYGDA,"1,2,3,4,6-pentachloronaphthalene",Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1,Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1,BAOLNVSMVTYGDA-UHFFFAOYSA-N,BAOLNVSMVTYGDA,BAOLNVSMVTYGDA,BAOLNVSMVTYGDA,BAOLNVSMVTYGDA,-3.119164713968704,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,15,300.399,1,1,SANDER-35240,3732,10.1016/J.ATMOSENV.2016.10.009,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,
BAYUSCHCCGXLAY,3′-methoxyacetophenone,COc1cccc(C(C)=O)c1,COc1cccc(C(C)=O)c1,BAYUSCHCCGXLAY-UHFFFAOYSA-N,BAYUSCHCCGXLAY,BAYUSCHCCGXLAY,BAYUSCHCCGXLAY,BAYUSCHCCGXLAY,-6.3751571234794,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,11,150.17699999999996,1,1,SANDER-16097,3724,10.1021/JE700612B,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,
BBABSCYTNHOKOG,pentachloromethoxybenzene,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,BBABSCYTNHOKOG-UHFFFAOYSA-N,BBABSCYTNHOKOG,BBABSCYTNHOKOG,BBABSCYTNHOKOG,BBABSCYTNHOKOG,-0.9774670142527602,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,13,280.365,1,1,SANDER-38183,1524,10.1007/S002160101077,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,
BCTASVPUYLXFBW,PFBHA-1-hydroxypropanone,CC(CO)=NOCc1c(F)c(F)c(F)c(F)c1F,CC(CO)=NOCc1c(F)c(F)c(F)c(F)c1F,BCTASVPUYLXFBW-UHFFFAOYSA-N,BCTASVPUYLXFBW,BCTASVPUYLXFBW,BCTASVPUYLXFBW,BCTASVPUYLXFBW,-2.4906140436893542,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,18,269.1689999999999,1,1,SANDER-32476,2497,10.1021/JE025545I,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
BDFAOUQQXJIZDG,2-methyl-1-propanethiol,CC(C)CS,CC(C)CS,BDFAOUQQXJIZDG-UHFFFAOYSA-N,BDFAOUQQXJIZDG,BDFAOUQQXJIZDG,BDFAOUQQXJIZDG,BDFAOUQQXJIZDG,-0.5378803038700118,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,5,90.191,1,1,SANDER-42651,3306,10.1016/J.JCT.2015.10.005,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,
BIVDISPRSYAHQQ,"1,2,4,5-tetrachloronaphthalene",Clc1cc(Cl)c2c(Cl)cccc2c1Cl,Clc1cc(Cl)c2c(Cl)cccc2c1Cl,BIVDISPRSYAHQQ-UHFFFAOYSA-N,BIVDISPRSYAHQQ,BIVDISPRSYAHQQ,BIVDISPRSYAHQQ,BIVDISPRSYAHQQ,-3.50660630412664,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,14,265.95399999999995,1,1,SANDER-35227,3732,10.1016/J.ATMOSENV.2016.10.009,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,
BMZVDHQOAJUZJL,"1,3-dibromo-2-methoxybenzene",COc1c(Br)cccc1Br,COc1c(Br)cccc1Br,BMZVDHQOAJUZJL-UHFFFAOYSA-N,BMZVDHQOAJUZJL,BMZVDHQOAJUZJL,BMZVDHQOAJUZJL,BMZVDHQOAJUZJL,-2.677294821763553,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,10,265.932,1,1,SANDER-41494,1524,10.1007/S002160101077,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
BRLQWZUYTZBJKN,(chloromethyl)-oxirane,ClCC1CO1,ClCC1CO1,BRLQWZUYTZBJKN-UHFFFAOYSA-N,BRLQWZUYTZBJKN,BRLQWZUYTZBJKN,BRLQWZUYTZBJKN,BRLQWZUYTZBJKN,-3.897199417405152,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,5,92.525,1,1,SANDER-37812,3646,10.1021/ES970763V,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,True,True,False,
BTRCDLZQISXWHZ,"4-bromo-2,3-dichloro-1-methoxybenzene",COc1ccc(Br)c(Cl)c1Cl,COc1ccc(Br)c(Cl)c1Cl,BTRCDLZQISXWHZ-UHFFFAOYSA-N,BTRCDLZQISXWHZ,BTRCDLZQISXWHZ,BTRCDLZQISXWHZ,BTRCDLZQISXWHZ,-1.9585971639928252,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,11,255.926,1,1,SANDER-42145,1524,10.1007/S002160101077,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
BULLJMKUVKYZDJ,perfluorohexyl iodide,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,BULLJMKUVKYZDJ-UHFFFAOYSA-N,BULLJMKUVKYZDJ,BULLJMKUVKYZDJ,BULLJMKUVKYZDJ,BULLJMKUVKYZDJ,-0.0777986830724094,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,20,445.944,1,1,SANDER-42492,3939,10.1016/J.HAZL.2022.100070,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
BVSOVPUWHJWGEP,"6-bromo-2,5-dichloro-1-methoxybenzene",COc1c(Cl)ccc(Cl)c1Br,COc1c(Cl)ccc(Cl)c1Br,BVSOVPUWHJWGEP-UHFFFAOYSA-N,BVSOVPUWHJWGEP,BVSOVPUWHJWGEP,BVSOVPUWHJWGEP,BVSOVPUWHJWGEP,-1.7472726277691262,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,11,255.926,1,1,SANDER-42153,3118,10.1016/J.CHROMA.2004.12.027,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
BYGQBDHUGHBGMD,2-methylbutanal,CCC(C)C=O,CCC(C)C=O,BYGQBDHUGHBGMD-UHFFFAOYSA-N,BYGQBDHUGHBGMD,BYGQBDHUGHBGMD,BYGQBDHUGHBGMD,BYGQBDHUGHBGMD,-2.39561343672259,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,6,86.13399999999999,1,1,SANDER-14318,1923,10.1016/S1387-3806(03)00197-0,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,
CAFROQYMUICGNO,"2,2,2-trifluoroethyl methanoate",O=COCC(F)(F)F,O=COCC(F)(F)F,CAFROQYMUICGNO-UHFFFAOYSA-N,CAFROQYMUICGNO,CAFROQYMUICGNO,CAFROQYMUICGNO,CAFROQYMUICGNO,-1.5370463030734125,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,8,128.049,1,1,SANDER-32143,2802,10.1016/J.ATMOSENV.2005.06.021,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,
CCEFMUBVSUDRLG,limonene oxide,C=C(C)C1CCC2(C)OC2C1,C=C(C)C1CCC2(C)OC2C1,CCEFMUBVSUDRLG-UHFFFAOYSA-N,CCEFMUBVSUDRLG,CCEFMUBVSUDRLG,CCEFMUBVSUDRLG,CCEFMUBVSUDRLG,-2.9228405979354397,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,11,152.237,1,1,SANDER-24068,2462,10.1021/JE980070+,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
CCEKAJIANROZEO,N-ethylperfluorooctanesulfonamide,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCEKAJIANROZEO-UHFFFAOYSA-N,CCEKAJIANROZEO,CCEKAJIANROZEO,CCEKAJIANROZEO,CCEKAJIANROZEO,-0.501220058409582,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,31,527.1959999999998,1,1,SANDER-44041,3939,10.1016/J.HAZL.2022.100070,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
CGFCSKMZZXPWEY,2-nitrooxy-3-butanol,CC(O)C(C)O[N+](=O)[O-],CC(O)C(C)O[N+](=O)[O-],CGFCSKMZZXPWEY-UHFFFAOYSA-N,CGFCSKMZZXPWEY,CGFCSKMZZXPWEY,CGFCSKMZZXPWEY,CGFCSKMZZXPWEY,-7.359115369041204,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,9,135.119,1,1,SANDER-27623,548,10.1021/ES960538Y,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
CHIFOSRWCNZCFN,penoxaline,CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],CCC(CC)Nc1c([N+](=O)[O-])cc(C)c(C)c1[N+](=O)[O-],CHIFOSRWCNZCFN-UHFFFAOYSA-N,CHIFOSRWCNZCFN,CHIFOSRWCNZCFN,CHIFOSRWCNZCFN,CHIFOSRWCNZCFN,-6.102891134415766,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,20,281.312,1,1,SANDER-31314,1144,10.1002/ETC.5620090606,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
CICQUFBZCADHHX,"1,5-dichloro-2-methoxybenzene",COc1ccc(Cl)cc1Cl,COc1ccc(Cl)cc1Cl,CICQUFBZCADHHX-UHFFFAOYSA-N,CICQUFBZCADHHX,CICQUFBZCADHHX,CICQUFBZCADHHX,CICQUFBZCADHHX,-2.010150095313052,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,10,177.02999999999997,1,1,SANDER-38159,1524,10.1007/S002160101077,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,False,
COAUHYBSXMIJDK,"3,3-dichloro-1,1,1,2,2-pentafluoropropane",FC(F)(F)C(F)(F)C(Cl)Cl,FC(F)(F)C(F)(F)C(Cl)Cl,COAUHYBSXMIJDK-UHFFFAOYSA-N,COAUHYBSXMIJDK,COAUHYBSXMIJDK,COAUHYBSXMIJDK,COAUHYBSXMIJDK,0.8383365091933289,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,10,202.937,1,1,SANDER-40475,2939,10.1002/KIN.20780,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
CTLMCQOGOWNFHA,"1,2,3,4,5,6-hexachloronaphthalene",Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,Clc1ccc2c(Cl)c(Cl)c(Cl)c(Cl)c2c1Cl,CTLMCQOGOWNFHA-UHFFFAOYSA-N,CTLMCQOGOWNFHA,CTLMCQOGOWNFHA,CTLMCQOGOWNFHA,CTLMCQOGOWNFHA,-4.483411727002943,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,16,334.84399999999994,1,1,SANDER-35249,3732,10.1016/J.ATMOSENV.2016.10.009,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,
CWJSHJJYOPWUGX,chlorpropham,CC(C)OC(=O)Nc1cccc(Cl)c1,CC(C)OC(=O)Nc1cccc(Cl)c1,CWJSHJJYOPWUGX-UHFFFAOYSA-N,CWJSHJJYOPWUGX,CWJSHJJYOPWUGX,CWJSHJJYOPWUGX,CWJSHJJYOPWUGX,-6.488354475825306,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,14,213.664,1,1,SANDER-39746,2538,10.1584/JPESTICS.18.3_201,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
DCEPGADSNJKOJK,trifluoroacetylfluoride,O=C(F)C(F)(F)F,O=C(F)C(F)(F)F,DCEPGADSNJKOJK-UHFFFAOYSA-N,DCEPGADSNJKOJK,DCEPGADSNJKOJK,DCEPGADSNJKOJK,DCEPGADSNJKOJK,-2.553038563510698,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,7,116.01300000000002,1,1,SANDER-32014;SANDER-32015;SANDER-32016,671,10.1007/978-3-642-61445-3_6,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
DIRFUJHNVNOBMY,fenobucarb,CCC(C)c1ccccc1OC(=O)NC,CCC(C)c1ccccc1OC(=O)NC,DIRFUJHNVNOBMY-UHFFFAOYSA-N,DIRFUJHNVNOBMY,DIRFUJHNVNOBMY,DIRFUJHNVNOBMY,DIRFUJHNVNOBMY,-7.599347343229355,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,15,207.273,1,1,SANDER-26848,2538,10.1584/JPESTICS.18.3_201,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
DKEGCUDAFWNSSO,"1,8-dibromooctane",BrCCCCCCCCBr,BrCCCCCCCCBr,DKEGCUDAFWNSSO-UHFFFAOYSA-N,DKEGCUDAFWNSSO,DKEGCUDAFWNSSO,DKEGCUDAFWNSSO,DKEGCUDAFWNSSO,-2.0575741949439603,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,10,272.02399999999994,1,1,SANDER-41147,2122,10.1016/J.CHEMOSPHERE.2006.01.057,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,
DLIFNTQMBOCKTL,PFBHA-propanone,CC(C)=NOCc1c(F)c(F)c(F)c(F)c1F,CC(C)=NOCc1c(F)c(F)c(F)c(F)c1F,DLIFNTQMBOCKTL-UHFFFAOYSA-N,DLIFNTQMBOCKTL,DLIFNTQMBOCKTL,DLIFNTQMBOCKTL,DLIFNTQMBOCKTL,-1.9585971639928252,298.15,mol m^-3 Pa^-1,1 M ideal gas to 1 M ideal-dilute aqueous,negative is favorable hydration,17,253.16999999999996,1,1,SANDER-32463,2497,10.1021/JE025545I,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,
